cheater1_rank,cheater1_username,cheater1_submission_id,cheater2_rank,cheater2_username,cheater2_submission_id,similarity_percentage
340,https://leetcode.com/u/Om_Ashish_Soni,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327913064,4172,https://leetcode.com/u/ByteBot,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327938271,56
341,https://leetcode.com/u/zhoyu255,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327910655,3864,https://leetcode.com/u/sagar_agrawal,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327932946,61
343,https://leetcode.com/u/dasrath1213,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327921435,3560,https://leetcode.com/u/mandalprabhakar98,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327926682,76
344,https://leetcode.com/u/yrclamb,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327911042,9051,https://leetcode.com/u/anlaoye,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327996226,79
345,https://leetcode.com/u/raj-adi,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327918481,3717,https://leetcode.com/u/mugiwara2711,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327930184,61
346,https://leetcode.com/u/sanjaydbg,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327926766,3712,https://leetcode.com/u/Lskj,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327930108,70
349,https://leetcode.com/u/david_feng,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327918285,7850,https://leetcode.com/u/ryantenerowicz,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327978370,56
350,https://leetcode.com/u/shareefbasha1999,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327925103,4086,https://leetcode.com/u/himanishu93,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327927852,60
353,https://leetcode.com/u/etian6795,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327905554,7005,https://leetcode.com/u/wasedasyuo,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327974327,77
355,https://leetcode.com/u/kiwi137,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327929749,4728,https://leetcode.com/u/loftysense,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327946185,71
